x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.37166000,-0.32794000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,10.25946673,-4.55038984,13.10647154,-4.55038984,15.28922611,-2.94227224,13.10647154,-2.94227224,30.84825968
0.37166115,-0.32794380,0.24566018,0.50540405,-0.49933205,0.49576123,0.49945475,299.19849887,0.76795684,0.26524048,0.76795684,299.73659633,-0.06964580,0.26524048,-0.06964580,299.67921801,10.32465364,-4.52067308,13.14983392,-4.52067308,15.10534788,-2.91198755,13.14983392,-2.91198755,30.56823674
0.37166447,-0.32795458,0.24566070,0.50540698,-0.49932916,0.49575599,0.49945988,298.39782488,1.53665201,0.52737315,1.53665201,299.47141361,-0.13583047,0.52737315,-0.13583047,299.35670793,10.39100146,-4.49021319,13.19380653,-4.49021319,14.91995251,-2.88108170,13.19380653,-2.88108170,30.28685743
0.37166981,-0.32797140,0.24566156,0.50541178,-0.49932443,0.49574738,0.49946829,297.59800053,2.30607751,0.78635027,2.30607751,299.20442615,-0.19848996,0.78635027,-0.19848996,299.03241400,10.45851920,-4.45899615,13.23838755,-4.45899615,14.73309098,-2.84954669,13.23838755,-2.84954669,30.00424357
0.37167700,-0.32799334,0.24566276,0.50541838,-0.49931791,0.49573553,0.49947989,296.79904823,3.07622487,1.04212423,3.07622487,298.93560841,-0.25755981,1.04212423,-0.25755981,298.70627907,10.52721539,-4.42700802,13.28357462,-4.42700802,14.54481684,-2.81737470,13.28357462,-2.81737470,29.72052170
0.37168589,-0.32801954,0.24566429,0.50542671,-0.49930967,0.49572056,0.49949457,296.00099033,3.84708520,1.29464759,3.84708520,298.66493502,-0.31297521,1.29464759,-0.31297521,298.37824458,10.59709798,-4.39423489,13.32936484,-4.39423489,14.35518612,-2.78455807,13.32936484,-2.78455807,29.43582298
0.37169634,-0.32804912,0.24566614,0.50543669,-0.49929976,0.49570257,0.49951223,295.20384903,4.61864907,1.54387313,4.61864907,298.39238084,-0.36467103,1.54387313,-0.36467103,298.04825060,10.66817435,-4.36066299,13.37575474,-4.36066299,14.16425739,-2.75108936,13.37575474,-2.75108936,29.15028323
0.37170822,-0.32808126,0.24566830,0.50544827,-0.49928823,0.49568167,0.49953277,294.40764644,5.39090660,1.78975385,5.39090660,298.11792097,-0.41258182,1.78975385,-0.41258182,297.71623582,10.74045125,-4.32627861,13.42274026,-4.32627861,13.97209173,-2.71696135,13.42274026,-2.71696135,28.86404284
0.37172139,-0.32811512,0.24567077,0.50546138,-0.49927516,0.49565796,0.49955610,293.61240450,6.16384736,2.03224303,6.16384736,297.84153082,-0.45664192,2.03224303,-0.45664192,297.38213756,10.81393476,-4.29106824,13.47031673,-4.29106824,13.77875271,-2.68216704,13.47031673,-2.68216704,28.57724669
0.37173573,-0.32814991,0.24567355,0.50547595,-0.49926058,0.49563155,0.49958213,292.81814500,6.93746044,2.27129426,6.93746044,297.56318617,-0.49678544,2.27129426,-0.49678544,297.04589179,10.88863029,-4.25501849,13.51847889,-4.25501849,13.58430637,-2.64669973,13.51847889,-2.64669973,28.29004410
0.37175112,-0.32818485,0.24567661,0.50549193,-0.49924455,0.49560254,0.49961077,292.02488952,7.71173433,2.50686148,7.71173433,297.28286318,-0.53294635,2.50686148,-0.53294635,296.70743316,10.96454251,-4.21811621,13.56722079,-4.21811621,13.38882119,-2.61055297,13.56722079,-2.61055297,28.00258872
0.37176747,-0.32821916,0.24567997,0.50550924,-0.49922711,0.49557102,0.49964193,291.23265945,8.48665700,2.73889901,8.48665700,297.00053847,-0.56505851,2.73889901,-0.56505851,296.36669501,11.04167531,-4.18034843,13.61653585,-4.18034843,13.19236808,-2.57372063,13.61653585,-2.57372063,27.71503845
0.37178466,-0.32825212,0.24568360,0.50552785,-0.49920832,0.49553709,0.49967553,290.44147595,9.26221584,2.96736161,9.26221584,296.71618917,-0.59305571,2.96736161,-0.59305571,296.02360936,11.12003180,-4.14170246,13.66641680,-4.14170246,12.99502031,-2.53619688,13.66641680,-2.53619688,27.42755531
0.37180261,-0.32828297,0.24568749,0.50554769,-0.49918822,0.49550084,0.49971149,289.65135992,10.03839764,3.19220449,10.03839764,296.42979298,-0.61687175,3.19220449,-0.61687175,295.67810703,11.19961424,-4.10216589,13.71685568,-4.10216589,12.79685349,-2.49797627,13.71685568,-2.49797627,27.14030529
0.37182121,-0.32831100,0.24569165,0.50556870,-0.49916686,0.49546236,0.49974974,288.86233200,10.81518859,3.41338337,10.81518859,296.14132822,-0.63644047,3.41338337,-0.63644047,295.33011757,11.28042402,-4.06172663,13.76784382,-4.06172663,12.59794548,-2.45905370,13.76784382,-2.45905370,26.85345824
0.37184040,-0.32833550,0.24569606,0.50559083,-0.49914427,0.49542173,0.49979019,288.07441252,11.59257425,3.63085451,11.59257425,295.85077389,-0.65169581,3.63085451,-0.65169581,294.97956935,11.36246159,-4.02037292,13.81937181,-4.02037292,12.39837638,-2.41942444,13.81937181,-2.41942444,26.56718769
0.37186008,-0.32835578,0.24570071,0.50561403,-0.49912049,0.49537904,0.49983277,287.28762152,12.37053956,3.84457477,12.37053956,295.55810974,-0.66257189,3.84457477,-0.66257189,294.62638962,11.44572649,-3.97809340,13.87142949,-3.97809340,12.19822841,-2.37908423,13.87142949,-2.37908423,26.28167069
0.37188019,-0.32837114,0.24570559,0.50563824,-0.49909558,0.49533437,0.49987742,286.50197867,13.14906878,4.05450160,13.14906878,295.26331634,-0.66900305,4.05450160,-0.66900305,294.27050450,11.53021722,-3.93487711,13.92400596,-3.93487711,11.99758589,-2.33802919,13.92400596,-2.33802919,25.99708761
0.37190065,-0.32838092,0.24571069,0.50566343,-0.49906956,0.49528781,0.49992406,285.71750329,13.92814551,4.26059316,13.92814551,294.96637513,-0.67092394,4.26059316,-0.67092394,293.91183905,11.61593130,-3.89071355,13.97708951,-3.89071355,11.79653511,-2.29625592,13.97708951,-2.29625592,25.71362196
0.37192139,-0.32838444,0.24571600,0.50568954,-0.49904247,0.49523942,0.49997262,284.93421432,14.70775268,4.46280827,14.70775268,294.66726852,-0.66826953,4.46280827,-0.66826953,293.55031736,11.70286513,-3.84559270,14.03066767,-3.84559270,11.59516427,-2.25376154,14.03066767,-2.25376154,25.43146014
0.37194236,-0.32838105,0.24572152,0.50571652,-0.49901435,0.49518929,0.50002305,284.15213028,15.48787248,4.66110653,15.48787248,294.36597993,-0.66097527,4.66110653,-0.66097527,293.18586253,11.79101406,-3.79950505,14.08472713,-3.79950505,11.39356338,-2.21054361,14.08472713,-2.21054361,25.15079126
0.37196349,-0.32837008,0.24572722,0.50574433,-0.49898523,0.49513749,0.50007528,283.37126926,16.26848640,4.85544832,16.26848640,294.06249388,-0.64897707,4.85544832,-0.64897707,292.81839682,11.88037225,-3.75244166,14.13925379,-3.75244166,11.19182416,-2.16660029,14.13925379,-2.16660029,24.87180684
0.37198473,-0.32835091,0.24573310,0.50577292,-0.49895514,0.49508410,0.50012924,282.59164889,17.04957519,5.04579483,17.04957519,293.75679608,-0.63221144,5.04579483,-0.63221144,292.44784163,11.97093271,-3.70439418,14.19423270,-3.70439418,10.99003993,-2.12193026,14.19423270,-2.12193026,24.59470062
0.37200602,-0.32832288,0.24573915,0.50580226,-0.49892413,0.49502917,0.50018488,281.81328633,17.83111885,5.23210815,17.83111885,293.44887349,-0.61061551,5.23210815,-0.61061551,292.07411764,12.06268723,-3.65535488,14.24964806,-3.65535488,10.78830548,-2.07653278,14.24964806,-2.07653278,24.31966823
0.37202730,-0.32828535,0.24574536,0.50583229,-0.49889221,0.49497278,0.50024214,281.03619821,18.61309659,5.41435125,18.61309659,293.13871439,-0.58412716,5.41435125,-0.58412716,291.69714484,12.15562634,-3.60531672,14.30548322,-3.60531672,10.58671698,-2.03040772,14.30548322,-2.03040772,24.04690695
0.37204853,-0.32823771,0.24575171,0.50586299,-0.49885942,0.49491500,0.50030097,280.26040065,19.39548686,5.59248807,19.39548686,292.82630850,-0.55268509,5.59248807,-0.55268509,291.31684263,12.24973930,-3.55427335,14.36172066,-3.55427335,10.38537181,-1.98355559,14.36172066,-1.98355559,23.77661538
0.37206964,-0.32817931,0.24575820,0.50589430,-0.49882578,0.49485589,0.50036131,279.48590921,20.17826727,5.76648353,20.17826727,292.51164705,-0.51622886,5.76648353,-0.51622886,290.93312989,12.34501402,-3.50221915,14.41834200,-3.50221915,10.18436846,-1.93597754,14.41834200,-1.93597754,23.50899316
