dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.9988000960000005e-12,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.1980803072000005e-11,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.0790282332799998e-10,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.55692898304e-10,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
4.992503e-10,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
8.624455464959999e-10,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.3691204134720001e-09,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.043087945728e-09,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.908132468704e-09,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.9880096000000005e-09,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
5.3064462608960015e-09,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
6.887140687871999e-09,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
8.753762444128e-09,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.0929952431104e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.3439322900000002e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.6305457463296002e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.9551911106271996e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.3202210198528e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.7279852505503995e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.18083072e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.681101487369599e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
4.231138754867201e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
4.8332808688928006e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
5.489863321190399e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
6.203218750000001e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
6.9756769412096e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
7.809564829507202e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
8.7072064995328e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
9.670923187030399e-08,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.070303328e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.1805852319849599e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.2981693002547202e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.4232865179772801e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.5561675860070397e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.6970429210000002e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
1.84614265552896e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.0036966381987202e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.1699344337612798e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.3450853232310397e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.529378304e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.723042089952961e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
2.9263051115827197e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.139395516105281e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.362541167575041e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
3.595969646999999e-07,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0
