real_x,real_y,real_z
6.89922e-310,6.89922e-310,4.6754e-310
0.536067,-0.0194193,0.283893
0.536066,-0.0194257,0.283893
0.536068,-0.0194195,0.283894
0.536065,-0.019421,0.283889
0.536066,-0.0194196,0.283891
0.536066,-0.0194187,0.28389
0.536065,-0.0194198,0.283889
0.536066,-0.0194197,0.283886
0.536066,-0.0194199,0.283887
0.536067,-0.0194215,0.283888
0.536069,-0.0194172,0.283891
0.53607,-0.0194169,0.283894
0.53607,-0.0194151,0.28389
0.536072,-0.0194179,0.283892
0.536073,-0.0194175,0.283892
0.536074,-0.0194164,0.283892
0.536077,-0.0194197,0.283893
0.536078,-0.0194146,0.283895
0.536078,-0.0194185,0.283895
0.536079,-0.0194189,0.283895
0.53608,-0.0194176,0.283895
0.536084,-0.0194207,0.283897
0.536085,-0.0194185,0.283898
0.536088,-0.0194192,0.283901
0.53609,-0.0194157,0.283902
0.536091,-0.0194185,0.283903
0.536095,-0.0194225,0.283907
0.536097,-0.0194199,0.283907
0.536097,-0.0194188,0.283909
0.536103,-0.0194167,0.283912
0.536106,-0.019416,0.283916
0.53611,-0.0194159,0.283917
0.536111,-0.0194142,0.283917
0.536115,-0.0194163,0.283922
0.536118,-0.019415,0.283922
0.536121,-0.019414,0.283926
0.536125,-0.0194133,0.283928
0.536129,-0.0194126,0.283931
0.536133,-0.0194144,0.283934
0.536137,-0.0194163,0.283938
0.536141,-0.019413,0.283939
0.536146,-0.0194117,0.283945
0.536148,-0.0194129,0.283945
0.536151,-0.0194095,0.283946
0.536156,-0.0194077,0.283951
0.53616,-0.0194088,0.283954
0.536162,-0.0194094,0.283955
0.536165,-0.0194055,0.283956
0.536169,-0.0194085,0.283961
0.536173,-0.0194088,0.283965
0.536178,-0.0194041,0.283968
0.53618,-0.0194057,0.283969
0.536182,-0.0194032,0.283971
0.536187,-0.0194032,0.283976
0.536191,-0.0194033,0.283982
0.536195,-0.0193974,0.283982
0.536197,-0.0193985,0.283986
0.536199,-0.0194011,0.283989
0.536202,-0.0194012,0.28399
0.536207,-0.0194001,0.283996
0.53621,-0.0193981,0.283999
0.536211,-0.0193982,0.284
0.536215,-0.0193987,0.284001
0.536217,-0.0193967,0.284003
0.53622,-0.019398,0.284009
0.536223,-0.0193967,0.284012
0.536224,-0.0193971,0.284011
0.536226,-0.0193968,0.284017
0.536229,-0.019397,0.284021
0.536232,-0.0193954,0.284021
0.536233,-0.0193936,0.284025
0.536234,-0.0193943,0.284026
0.536238,-0.0193941,0.28403
0.536238,-0.0193945,0.284028
0.536243,-0.0193949,0.284035
0.536245,-0.0193938,0.284038
0.536245,-0.0193956,0.284037
0.536248,-0.0193923,0.284042
0.536248,-0.0193926,0.284043
0.536252,-0.0193907,0.284046
0.536254,-0.0193921,0.284049
0.53626,-0.0193919,0.284057
0.53626,-0.0193894,0.284055
0.536263,-0.0193884,0.284058
0.536268,-0.0193898,0.284065
0.53627,-0.0193921,0.284068
0.536273,-0.0193883,0.284072
0.536278,-0.0193872,0.284078
0.53628,-0.0193891,0.284078
0.536281,-0.0193851,0.284081
0.536284,-0.0193806,0.284086
0.536287,-0.0193812,0.28409
0.53629,-0.0193808,0.284096
0.536294,-0.0193822,0.284102
0.536295,-0.0193827,0.284105
0.536299,-0.0193806,0.284109
0.536303,-0.0193769,0.284118
0.536305,-0.0193783,0.284122
0.536305,-0.0193791,0.284125
0.536309,-0.019377,0.28413
0.536312,-0.0193734,0.284137
0.536313,-0.0193753,0.284141
0.536318,-0.0193729,0.284148
0.53632,-0.019372,0.284153
0.536322,-0.0193705,0.284157
0.536325,-0.0193708,0.284162
