target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,force_x,force_y,force_z,qw,qx,qy,qz
0.463598,-0.206318,0.246405,0.463599,-0.206318,0.246406,-1.03967e-06,-1.79965e-07,-1.05815e-06,-0.0404977,-0.045278,-0.0297793,0.505662,-0.500036,0.494913,0.499331
0.463596,-0.20632,0.246403,0.463598,-0.206318,0.246404,-2.20024e-06,-2.42855e-06,-1.22599e-06,-0.0339824,-0.0334448,-0.0279805,0.505661,-0.500034,0.494915,0.499331
0.463595,-0.206322,0.246402,0.463598,-0.206317,0.246405,-3.83959e-06,-5.58153e-06,-2.83504e-06,-0.0334059,-0.0502311,-0.0155744,0.505662,-0.500035,0.494912,0.499333
0.463593,-0.206324,0.2464,0.463599,-0.206315,0.246405,-6.14869e-06,-8.77951e-06,-5.12913e-06,-0.038886,-0.0547063,-0.0183071,0.505662,-0.500036,0.494911,0.499333
0.463592,-0.206326,0.246399,0.463599,-0.206318,0.246404,-7.89495e-06,-8.41771e-06,-5.74085e-06,-0.0462122,-0.0455142,-0.0242567,0.505662,-0.500035,0.494914,0.49933
0.46359,-0.206328,0.246397,0.463597,-0.20632,0.246403,-7.39296e-06,-8.92489e-06,-5.88996e-06,-0.0306365,-0.0274149,-0.0213021,0.505664,-0.500034,0.494914,0.499329
0.463588,-0.206331,0.246396,0.463599,-0.206318,0.246406,-1.07894e-05,-1.26299e-05,-1.00108e-05,-0.0502832,-0.0480797,-0.0550589,0.505662,-0.500039,0.494911,0.499329
0.463587,-0.206333,0.246394,0.463597,-0.206315,0.246402,-1.04707e-05,-1.72365e-05,-7.56285e-06,-0.0334737,-0.0625085,-0.021354,0.505663,-0.500033,0.494911,0.499335
0.463585,-0.206335,0.246393,0.463599,-0.206316,0.246402,-1.33168e-05,-1.9196e-05,-9.20834e-06,-0.0363844,-0.0627086,-0.0240058,0.505662,-0.500034,0.494912,0.499334
0.463584,-0.206337,0.246391,0.463599,-0.206316,0.246403,-1.53535e-05,-2.08414e-05,-1.18209e-05,-0.0436276,-0.0599804,-0.0293289,0.505663,-0.500034,0.494913,0.499332
0.463582,-0.206339,0.24639,0.4636,-0.206316,0.246405,-1.75821e-05,-2.25503e-05,-1.54339e-05,-0.0510668,-0.0529853,-0.0454647,0.505665,-0.500039,0.49491,0.499328
0.463581,-0.206341,0.246388,0.463599,-0.206315,0.246403,-1.82325e-05,-2.59481e-05,-1.48949e-05,-0.0422596,-0.0590489,-0.0303197,0.505663,-0.500036,0.494911,0.49933
0.463579,-0.206343,0.246387,0.4636,-0.206316,0.246407,-2.11456e-05,-2.75982e-05,-2.02049e-05,-0.0510284,-0.0462014,-0.0532671,0.505664,-0.500036,0.494911,0.49933
0.463578,-0.206345,0.246385,0.4636,-0.206314,0.246407,-2.25133e-05,-3.16802e-05,-2.12051e-05,-0.0476999,-0.0635943,-0.0524197,0.505664,-0.500037,0.494908,0.499332
0.463576,-0.206348,0.246384,0.463601,-0.206314,0.246409,-2.44788e-05,-3.36816e-05,-2.50221e-05,-0.0458764,-0.0610793,-0.0670921,0.505663,-0.500039,0.494908,0.499331
0.463575,-0.20635,0.246382,0.4636,-0.206315,0.246409,-2.57719e-05,-3.46966e-05,-2.65037e-05,-0.0365706,-0.0437011,-0.0544761,0.505667,-0.500039,0.494907,0.49933
0.463573,-0.206352,0.246381,0.463599,-0.206314,0.246405,-2.64788e-05,-3.83292e-05,-2.45526e-05,-0.0332219,-0.0532647,-0.0325583,0.505665,-0.500035,0.494908,0.499334
0.463571,-0.206354,0.246379,0.4636,-0.206316,0.246407,-2.83703e-05,-3.83907e-05,-2.71201e-05,-0.0387836,-0.0298399,-0.0384415,0.505669,-0.500036,0.494907,0.499329
0.46357,-0.206356,0.246378,0.463599,-0.206316,0.246407,-2.95314e-05,-4.01875e-05,-2.87995e-05,-0.0392121,-0.0340066,-0.0321572,0.505667,-0.500035,0.494909,0.49933
0.463568,-0.206358,0.246376,0.463601,-0.206314,0.246409,-3.26976e-05,-4.4538e-05,-3.24797e-05,-0.0459644,-0.0577177,-0.0561862,0.505668,-0.50004,0.494906,0.499328
0.463567,-0.206361,0.246375,0.463601,-0.206312,0.246408,-3.46314e-05,-4.80827e-05,-3.29931e-05,-0.0450613,-0.058444,-0.0365811,0.50567,-0.500036,0.494904,0.499331
0.463565,-0.206363,0.246374,0.463603,-0.206309,0.246409,-3.77442e-05,-5.32806e-05,-3.56445e-05,-0.0528722,-0.0815112,-0.0486174,0.505668,-0.50004,0.494902,0.499331
0.463564,-0.206365,0.246372,0.463601,-0.206312,0.246407,-3.7557e-05,-5.26731e-05,-3.50526e-05,-0.0302223,-0.0587922,-0.0364896,0.505671,-0.500037,0.494904,0.49933
0.463562,-0.206367,0.246371,0.463602,-0.206312,0.246408,-4.04838e-05,-5.48082e-05,-3.70744e-05,-0.0466399,-0.0607677,-0.044881,0.505671,-0.500037,0.494904,0.49933
0.46356,-0.206369,0.246369,0.463603,-0.206312,0.246409,-4.26758e-05,-5.69316e-05,-3.97121e-05,-0.0504086,-0.069292,-0.0510834,0.50567,-0.500038,0.494904,0.499329
0.463559,-0.206372,0.246368,0.463603,-0.206313,0.246409,-4.39236e-05,-5.87581e-05,-4.11281e-05,-0.0469163,-0.0606889,-0.0456244,0.505672,-0.500038,0.494904,0.499328
0.463557,-0.206374,0.246366,0.463604,-0.206312,0.246409,-4.65667e-05,-6.17892e-05,-4.32549e-05,-0.0454197,-0.0676667,-0.0335323,0.505673,-0.500039,0.494903,0.499327
0.463556,-0.206376,0.246365,0.463605,-0.206312,0.246411,-4.95732e-05,-6.39499e-05,-4.63966e-05,-0.0560166,-0.0635376,-0.0534354,0.505673,-0.500038,0.494903,0.499327
0.463554,-0.206378,0.246363,0.463604,-0.206311,0.24641,-5.05062e-05,-6.72216e-05,-4.67972e-05,-0.049438,-0.0718787,-0.0379848,0.505675,-0.500037,0.494901,0.499328
0.463552,-0.20638,0.246362,0.463605,-0.206312,0.246413,-5.25655e-05,-6.85978e-05,-5.08006e-05,-0.0596828,-0.0627993,-0.0632436,0.505673,-0.50004,0.494902,0.499327
0.463551,-0.206383,0.24636,0.463605,-0.206309,0.24641,-5.38929e-05,-7.39897e-05,-4.9552e-05,-0.0482529,-0.0825642,-0.036162,0.505673,-0.500038,0.4949,0.49933
0.463549,-0.206385,0.246359,0.463603,-0.20631,0.24641,-5.38858e-05,-7.47424e-05,-5.07129e-05,-0.033278,-0.0598327,-0.0281796,0.505673,-0.500037,0.494901,0.49933
0.463547,-0.206387,0.246357,0.463606,-0.206308,0.24641,-5.8373e-05,-7.94579e-05,-5.30664e-05,-0.050521,-0.0814838,-0.0357328,0.505672,-0.500041,0.4949,0.499329
0.463546,-0.20639,0.246356,0.463606,-0.206308,0.246412,-6.03781e-05,-8.16976e-05,-5.57681e-05,-0.048506,-0.0724116,-0.0462571,0.505672,-0.500041,0.494899,0.499328
0.463544,-0.206392,0.246354,0.463606,-0.206309,0.24641,-6.22919e-05,-8.31969e-05,-5.59401e-05,-0.0443318,-0.068454,-0.0301846,0.505675,-0.500041,0.494899,0.499326
0.463543,-0.206394,0.246353,0.463607,-0.206305,0.246412,-6.42905e-05,-8.87844e-05,-5.88431e-05,-0.0412207,-0.0883869,-0.0449953,0.505673,-0.500041,0.494898,0.49933
0.463541,-0.206397,0.246352,0.463608,-0.206305,0.246412,-6.66355e-05,-9.15451e-05,-6.08682e-05,-0.04321,-0.0776183,-0.0442664,0.505673,-0.500042,0.494897,0.499329
0.463539,-0.206399,0.24635,0.463607,-0.206306,0.246413,-6.82592e-05,-9.2653e-05,-6.29946e-05,-0.0406683,-0.0663303,-0.0449638,0.505674,-0.500041,0.494898,0.499328
0.463538,-0.206401,0.246349,0.463608,-0.206304,0.246415,-7.0131e-05,-9.73085e-05,-6.67467e-05,-0.0473353,-0.0754436,-0.0638852,0.505673,-0.500044,0.494896,0.499328
0.463536,-0.206404,0.246347,0.463609,-0.206304,0.246415,-7.28192e-05,-9.98176e-05,-6.75798e-05,-0.0527446,-0.0791619,-0.0565249,0.505675,-0.500043,0.494895,0.499327
0.463534,-0.206406,0.246346,0.46361,-0.206305,0.246415,-7.5798e-05,-0.000100767,-6.95824e-05,-0.0665799,-0.0685111,-0.0636767,0.505676,-0.500044,0.494897,0.499325
0.463532,-0.206408,0.246344,0.46361,-0.206306,0.246419,-7.77944e-05,-0.000102515,-7.45781e-05,-0.0609682,-0.0608909,-0.0780926,0.505677,-0.500046,0.494896,0.499323
0.463531,-0.206411,0.246343,0.463611,-0.206303,0.246417,-8.05772e-05,-0.000107256,-7.44333e-05,-0.0644324,-0.0761103,-0.0547546,0.505676,-0.500044,0.494896,0.499325
0.463529,-0.206413,0.246341,0.463613,-0.206304,0.24642,-8.35384e-05,-0.000108956,-7.85674e-05,-0.0693323,-0.0654686,-0.0676218,0.50568,-0.500048,0.494893,0.499321
0.463527,-0.206416,0.24634,0.463612,-0.206305,0.246419,-8.42924e-05,-0.00011019,-7.94269e-05,-0.0539118,-0.0513028,-0.0524096,0.505678,-0.500047,0.494895,0.49932
0.463526,-0.206418,0.246339,0.463613,-0.206304,0.24642,-8.705e-05,-0.000113541,-8.15825e-05,-0.0625685,-0.0717918,-0.0520816,0.505678,-0.50005,0.494894,0.499319
0.463524,-0.20642,0.246337,0.463613,-0.2063,0.246419,-8.8999e-05,-0.000120473,-8.14013e-05,-0.0641255,-0.107549,-0.0389821,0.505675,-0.500047,0.494893,0.499326
0.463522,-0.206423,0.246336,0.463615,-0.206303,0.246424,-9.26836e-05,-0.000120081,-8.77575e-05,-0.0731877,-0.0727917,-0.0675144,0.505679,-0.500052,0.494891,0.499319
0.46352,-0.206425,0.246334,0.463613,-0.206299,0.246422,-9.2444e-05,-0.000126157,-8.80531e-05,-0.0470503,-0.0969446,-0.0485788,0.505676,-0.500049,0.494892,0.499325
0.463519,-0.206428,0.246333,0.463614,-0.2063,0.246422,-9.52117e-05,-0.000127369,-8.86943e-05,-0.0548961,-0.0742807,-0.0504518,0.505676,-0.500048,0.494893,0.499324
0.463517,-0.20643,0.246332,0.463613,-0.206299,0.246422,-9.66313e-05,-0.000131029,-9.02448e-05,-0.0555866,-0.0913784,-0.0554943,0.505676,-0.50005,0.494891,0.499324
0.463515,-0.206433,0.24633,0.463615,-0.206299,0.246423,-9.98014e-05,-0.000133546,-9.3239e-05,-0.0612353,-0.0783463,-0.0673596,0.505676,-0.500054,0.49489,0.49932
0.463513,-0.206435,0.246329,0.463617,-0.206296,0.246424,-0.000104058,-0.000139041,-9.56569e-05,-0.0805518,-0.101876,-0.0665275,0.505675,-0.500056,0.494888,0.499321
0.463511,-0.206438,0.246327,0.463616,-0.206298,0.246424,-0.000104234,-0.000140123,-9.70846e-05,-0.0634669,-0.085987,-0.0623086,0.505677,-0.500055,0.494889,0.49932
0.46351,-0.20644,0.246326,0.463616,-0.206296,0.246423,-0.000106798,-0.000144434,-9.74942e-05,-0.0660494,-0.0978359,-0.0442124,0.505675,-0.500053,0.49489,0.499323
0.463508,-0.206443,0.246324,0.463615,-0.206299,0.246427,-0.000107402,-0.000143509,-0.000102453,-0.0537128,-0.0670879,-0.0642363,0.505678,-0.500055,0.494889,0.499319
0.463506,-0.206446,0.246323,0.463617,-0.206294,0.246424,-0.000110915,-0.000151051,-0.000100985,-0.0646024,-0.0986458,-0.0343165,0.505676,-0.500054,0.494887,0.499323
0.463504,-0.206448,0.246322,0.463618,-0.206296,0.246428,-0.000114148,-0.00015261,-0.00010587,-0.0679055,-0.0801069,-0.0533334,0.505675,-0.50006,0.494887,0.499319
0.463502,-0.206451,0.24632,0.463619,-0.206293,0.246429,-0.000116518,-0.000157985,-0.000108321,-0.0697405,-0.0995678,-0.0482303,0.505676,-0.500059,0.494884,0.499322
0.4635,-0.206453,0.246319,0.463619,-0.206296,0.246431,-0.000118816,-0.000157356,-0.000111646,-0.0706635,-0.0729758,-0.0576664,0.505677,-0.500062,0.494887,0.499316
0.463498,-0.206456,0.246318,0.46362,-0.206293,0.246431,-0.00012117,-0.000162897,-0.000113592,-0.0743966,-0.0957494,-0.0574844,0.505673,-0.500063,0.494886,0.499319
0.463497,-0.206459,0.246316,0.463619,-0.206294,0.24643,-0.000122432,-0.000164664,-0.000113647,-0.0701418,-0.0894163,-0.0447617,0.505674,-0.500061,0.494888,0.499319
0.463495,-0.206461,0.246315,0.463622,-0.206289,0.246432,-0.000127196,-0.000171797,-0.000117601,-0.0862034,-0.106716,-0.0571533,0.505674,-0.500064,0.494884,0.49932
0.463493,-0.206464,0.246313,0.46362,-0.20629,0.246429,-0.000127784,-0.000174354,-0.000115434,-0.0737176,-0.0891226,-0.036666,0.505673,-0.500061,0.494885,0.499322
0.463491,-0.206467,0.246312,0.463622,-0.206288,0.246431,-0.00013169,-0.00017877,-0.000119347,-0.0821511,-0.0977303,-0.0597863,0.505672,-0.500066,0.494883,0.49932
0.463489,-0.206469,0.246311,0.463623,-0.206288,0.246433,-0.000134445,-0.00018093,-0.00012275,-0.0857356,-0.0888124,-0.0693455,0.505674,-0.500069,0.494881,0.499317
0.463487,-0.206472,0.246309,0.463623,-0.206286,0.246434,-0.000136435,-0.00018614,-0.00012428,-0.0757011,-0.0993077,-0.0721931,0.505673,-0.500068,0.49488,0.49932
0.463485,-0.206475,0.246308,0.463623,-0.206286,0.246435,-0.00013847,-0.00018826,-0.000127113,-0.0797421,-0.0918305,-0.0763954,0.505673,-0.500069,0.49488,0.499319
0.463483,-0.206477,0.246307,0.463624,-0.206287,0.246437,-0.000140986,-0.000190804,-0.000130055,-0.0743411,-0.0920642,-0.0773256,0.505672,-0.500069,0.49488,0.499319
0.463481,-0.20648,0.246305,0.463625,-0.206286,0.246437,-0.000143718,-0.000194598,-0.000131371,-0.0798072,-0.104189,-0.0763714,0.505672,-0.500069,0.49488,0.49932
0.463479,-0.206483,0.246304,0.463626,-0.206283,0.246437,-0.000147067,-0.000200018,-0.000132744,-0.0794224,-0.118387,-0.0710073,0.50567,-0.500071,0.494878,0.499321
0.463477,-0.206486,0.246303,0.463625,-0.206284,0.246438,-0.000148346,-0.00020181,-0.000135343,-0.069546,-0.0961792,-0.0722413,0.505672,-0.50007,0.494878,0.499321
