x,y,z,qw,qx,qy,qz
0.463849,-0.20666,0.24616,0.505693,-0.500175,0.49495,0.499125
0.463848,-0.20666,0.246159,0.505691,-0.500173,0.494952,0.499126
0.463849,-0.20666,0.246156,0.505693,-0.500171,0.49495,0.499127
0.463849,-0.206659,0.246158,0.505693,-0.500172,0.49495,0.499126
0.463851,-0.206658,0.246158,0.50569,-0.500173,0.494951,0.499127
0.463851,-0.206657,0.246158,0.505692,-0.500175,0.494948,0.499126
0.463849,-0.206661,0.246157,0.505692,-0.500172,0.49495,0.499128
0.463852,-0.206658,0.246156,0.505692,-0.500175,0.494947,0.499127
0.463852,-0.20666,0.246156,0.505693,-0.500175,0.494947,0.499127
0.463851,-0.206661,0.246154,0.505693,-0.50017,0.494949,0.499129
0.463852,-0.20666,0.246156,0.505694,-0.500172,0.494948,0.499128
0.463854,-0.20666,0.246155,0.505692,-0.500173,0.49495,0.499126
0.463854,-0.206662,0.246157,0.505693,-0.500175,0.494949,0.499124
0.463854,-0.20666,0.246155,0.505695,-0.500176,0.494946,0.499125
0.463854,-0.206663,0.246156,0.505695,-0.500178,0.494947,0.499121
0.463856,-0.206662,0.246157,0.505692,-0.500178,0.494947,0.499124
0.463858,-0.206659,0.246157,0.505692,-0.500179,0.494943,0.499127
0.463858,-0.206663,0.246159,0.505695,-0.500183,0.494943,0.49912
0.463858,-0.206662,0.246155,0.505693,-0.500182,0.494944,0.499122
0.46386,-0.206663,0.246156,0.505692,-0.500184,0.494944,0.499121
0.463863,-0.206662,0.246158,0.505692,-0.500187,0.494943,0.499119
0.463865,-0.20666,0.246157,0.50569,-0.500189,0.494941,0.499121
0.463865,-0.206662,0.246154,0.505689,-0.500187,0.494943,0.499122
0.463867,-0.206662,0.246158,0.50569,-0.500192,0.494941,0.499118
0.463869,-0.206663,0.246158,0.505689,-0.500195,0.494941,0.499116
0.46387,-0.206664,0.246157,0.50569,-0.500195,0.49494,0.499115
0.463872,-0.206665,0.24616,0.505687,-0.5002,0.494941,0.499114
0.463873,-0.206667,0.24616,0.505689,-0.5002,0.49494,0.499113
0.463875,-0.206667,0.246161,0.505688,-0.500205,0.494939,0.49911
0.463878,-0.206668,0.246164,0.505689,-0.500207,0.494938,0.499108
0.46388,-0.20667,0.246162,0.505689,-0.500207,0.494939,0.499107
0.463883,-0.206667,0.246167,0.505687,-0.500214,0.494936,0.499104
0.463885,-0.206668,0.246164,0.505687,-0.500214,0.494937,0.499104
0.463887,-0.20667,0.246167,0.505688,-0.500218,0.494935,0.4991
0.463891,-0.20667,0.246169,0.505685,-0.500225,0.494935,0.499096
0.463895,-0.206669,0.246173,0.505685,-0.50023,0.494932,0.499094
0.463896,-0.206672,0.246175,0.505684,-0.500234,0.494933,0.49909
0.463896,-0.206674,0.246177,0.505684,-0.500236,0.494934,0.499088
0.463901,-0.206673,0.246179,0.505684,-0.500241,0.494932,0.499084
0.463903,-0.206673,0.24618,0.505683,-0.500243,0.494932,0.499083
0.463904,-0.206677,0.246182,0.505683,-0.500245,0.494934,0.499079
0.463909,-0.206677,0.246183,0.505685,-0.500247,0.494933,0.499076
0.463912,-0.206675,0.246188,0.505684,-0.500254,0.49493,0.499073
0.463914,-0.206679,0.246192,0.505686,-0.500259,0.49493,0.499066
0.463916,-0.20668,0.246193,0.505687,-0.500263,0.494928,0.499063
0.463919,-0.206681,0.246197,0.505687,-0.500266,0.494928,0.49906
0.463922,-0.206681,0.246197,0.505685,-0.500269,0.494929,0.499059
0.463925,-0.206682,0.2462,0.505684,-0.500274,0.494929,0.499055
0.463928,-0.206683,0.246206,0.505684,-0.500281,0.494927,0.499049
0.463929,-0.206686,0.246209,0.505684,-0.500284,0.494927,0.499046
0.463933,-0.206688,0.246212,0.505684,-0.50029,0.494926,0.499042
0.463935,-0.206685,0.246214,0.50568,-0.500293,0.494925,0.499043
0.463938,-0.206687,0.246217,0.505681,-0.500298,0.494923,0.499039
0.463942,-0.206686,0.246222,0.50568,-0.500306,0.49492,0.499034
0.463946,-0.206687,0.246224,0.50568,-0.500309,0.49492,0.499032
0.46395,-0.20669,0.246224,0.505682,-0.500312,0.494921,0.499025
0.463952,-0.20669,0.246226,0.50568,-0.500316,0.49492,0.499025
0.463956,-0.206689,0.24623,0.505679,-0.500322,0.494918,0.499022
0.463958,-0.206692,0.24623,0.505677,-0.500325,0.49492,0.499019
0.463963,-0.20669,0.246234,0.505678,-0.500331,0.494917,0.499015
0.463968,-0.206691,0.246238,0.505677,-0.50034,0.494914,0.499009
0.463971,-0.206692,0.24624,0.505679,-0.500343,0.494913,0.499006
0.463977,-0.206691,0.246245,0.505677,-0.500351,0.494911,0.499001
0.463979,-0.206694,0.246248,0.505677,-0.500357,0.494909,0.498997
0.463982,-0.206695,0.246249,0.505677,-0.500361,0.494908,0.498995
0.463985,-0.206694,0.246252,0.505675,-0.500364,0.494907,0.498995
0.463989,-0.206694,0.246256,0.505674,-0.500371,0.494904,0.498991
0.463994,-0.206696,0.246261,0.505672,-0.500381,0.494903,0.498985
0.463996,-0.206696,0.246262,0.505672,-0.500382,0.494904,0.498983
0.464002,-0.206696,0.246265,0.505671,-0.500389,0.494902,0.498979
0.464005,-0.206695,0.246269,0.505671,-0.500394,0.494899,0.498976
0.464009,-0.206696,0.246272,0.50567,-0.5004,0.494898,0.498973
0.464011,-0.206697,0.246274,0.505669,-0.500404,0.494898,0.49897
0.464016,-0.206697,0.246278,0.505669,-0.500411,0.494895,0.498966
0.464021,-0.206697,0.246281,0.505666,-0.500417,0.494894,0.498964
0.464025,-0.206697,0.246285,0.505665,-0.500426,0.494891,0.498959
0.464029,-0.206695,0.24629,0.505666,-0.500434,0.494886,0.498955
0.464032,-0.206695,0.246292,0.505664,-0.500438,0.494885,0.498953
0.464035,-0.206696,0.246293,0.505663,-0.500441,0.494886,0.49895
0.464039,-0.206695,0.246298,0.505662,-0.500446,0.494885,0.498948
0.464044,-0.206695,0.246301,0.505659,-0.500455,0.494882,0.498944
0.464047,-0.206695,0.246302,0.505661,-0.500458,0.494881,0.49894
0.464054,-0.206693,0.246309,0.505658,-0.500468,0.494878,0.498937
0.464055,-0.206698,0.246311,0.505657,-0.50047,0.494882,0.498932
0.464059,-0.206699,0.246314,0.505656,-0.500477,0.49488,0.498927
0.464063,-0.206696,0.246315,0.505655,-0.500483,0.494876,0.498926
0.464068,-0.206697,0.246323,0.505654,-0.500493,0.494875,0.498919
0.464072,-0.206696,0.246325,0.505654,-0.500497,0.494872,0.498917
0.464078,-0.206695,0.24633,0.50565,-0.500505,0.494871,0.498915
0.46408,-0.206697,0.246335,0.505652,-0.500511,0.494869,0.498908
0.464083,-0.206697,0.246336,0.505651,-0.500515,0.494868,0.498906
0.464087,-0.206695,0.24634,0.50565,-0.500523,0.494864,0.498903
0.46409,-0.206697,0.246342,0.505649,-0.500525,0.494866,0.498901
0.464096,-0.206696,0.246349,0.505648,-0.500534,0.494863,0.498895
0.4641,-0.206695,0.246349,0.505647,-0.500539,0.49486,0.498894
0.464104,-0.206696,0.246355,0.505648,-0.500546,0.494858,0.498888
0.464106,-0.206696,0.246357,0.505645,-0.500549,0.494859,0.498888
0.464112,-0.206697,0.246363,0.505646,-0.500559,0.494855,0.49888
0.464117,-0.206697,0.246369,0.505642,-0.500567,0.494854,0.498876
0.464121,-0.206694,0.246372,0.50564,-0.500571,0.494851,0.498877
0.464125,-0.206696,0.246375,0.50564,-0.500579,0.49485,0.498871
0.46413,-0.206695,0.246381,0.505639,-0.500588,0.494848,0.498865
0.464133,-0.206697,0.246382,0.505639,-0.500591,0.494847,0.498863
0.464138,-0.206698,0.246384,0.505639,-0.500597,0.494846,0.498859
0.464142,-0.206698,0.246388,0.505638,-0.500604,0.494843,0.498854
0.464148,-0.206698,0.246392,0.505638,-0.500611,0.49484,0.49885
0.464153,-0.2067,0.246395,0.505636,-0.500618,0.494841,0.498845
0.464157,-0.206703,0.246399,0.505637,-0.500627,0.49484,0.498836
0.464162,-0.206701,0.246403,0.505637,-0.500632,0.494836,0.498835
0.464169,-0.206701,0.246406,0.505634,-0.500639,0.494835,0.498831
0.464173,-0.206705,0.246409,0.505634,-0.500647,0.494835,0.498824
0.464178,-0.206705,0.246414,0.505635,-0.500654,0.494833,0.498818
0.464182,-0.20671,0.246418,0.505633,-0.500662,0.494834,0.49881
0.464187,-0.206708,0.246419,0.505631,-0.500666,0.494831,0.498812
0.464193,-0.20671,0.246427,0.505633,-0.500675,0.494829,0.498803
0.464197,-0.206711,0.246428,0.505629,-0.500683,0.494828,0.498799
0.464202,-0.206712,0.246432,0.505629,-0.500691,0.494826,0.498793
0.464208,-0.206711,0.246434,0.505625,-0.500696,0.494826,0.498793
0.464211,-0.206716,0.246438,0.505627,-0.500704,0.494826,0.498783
0.464215,-0.206717,0.246442,0.505623,-0.50071,0.494825,0.498781
0.464219,-0.206719,0.246445,0.505622,-0.500716,0.494824,0.498777
0.464225,-0.206721,0.246451,0.505623,-0.500726,0.494821,0.498769
0.464228,-0.206721,0.246452,0.50562,-0.500733,0.49482,0.498765
0.464233,-0.20672,0.246453,0.50562,-0.500736,0.494819,0.498764
0.464237,-0.206722,0.246457,0.505619,-0.500744,0.494818,0.498758
0.464242,-0.206725,0.24646,0.505619,-0.500751,0.494818,0.498751
0.464248,-0.206725,0.246467,0.505618,-0.500762,0.494815,0.498745
0.464252,-0.206724,0.246473,0.505616,-0.500767,0.494812,0.498744
0.464255,-0.206724,0.246474,0.505615,-0.500772,0.49481,0.498742
0.464261,-0.206729,0.246478,0.505617,-0.500779,0.494811,0.498733
0.464266,-0.206726,0.246481,0.505615,-0.500788,0.494809,0.498728
0.464269,-0.206728,0.246483,0.505613,-0.500791,0.494809,0.498726
0.464273,-0.206729,0.246488,0.50561,-0.500801,0.494807,0.498721
0.464278,-0.20673,0.246489,0.50561,-0.500806,0.494806,0.498717
0.464283,-0.206732,0.246494,0.505609,-0.500812,0.494806,0.498712
0.464288,-0.206734,0.2465,0.505609,-0.500821,0.494804,0.498705
0.46429,-0.206732,0.246499,0.505608,-0.500824,0.494802,0.498705
0.464295,-0.206733,0.246505,0.505606,-0.500832,0.494801,0.498701
0.464299,-0.206735,0.246508,0.505604,-0.500838,0.4948,0.498697
0.464303,-0.206732,0.246511,0.505602,-0.500844,0.494798,0.498696
0.464306,-0.206737,0.246516,0.505603,-0.500852,0.494796,0.498688
0.464312,-0.206733,0.24652,0.505601,-0.50086,0.49479,0.498687
0.464316,-0.206737,0.246523,0.505602,-0.500867,0.494792,0.498679
0.464321,-0.206735,0.246526,0.5056,-0.500872,0.49479,0.498678
0.464325,-0.206738,0.246529,0.505599,-0.500878,0.494789,0.498673
0.464329,-0.206739,0.246533,0.505598,-0.500885,0.494787,0.498668
0.464335,-0.206739,0.246538,0.505598,-0.500893,0.494785,0.498663
0.46434,-0.20674,0.246543,0.505596,-0.500902,0.494783,0.498658
0.464343,-0.20674,0.246546,0.505596,-0.500908,0.494781,0.498654
0.464347,-0.206742,0.246548,0.505595,-0.500913,0.49478,0.498651
0.46435,-0.206744,0.24655,0.505593,-0.500918,0.494781,0.498646
0.464357,-0.206742,0.246556,0.50559,-0.500928,0.494778,0.498642
0.464361,-0.206746,0.24656,0.505592,-0.500935,0.494776,0.498636
0.464366,-0.206747,0.246561,0.505591,-0.50094,0.494776,0.498632
0.464372,-0.206747,0.246567,0.505587,-0.50095,0.494775,0.498626
0.464375,-0.206746,0.246568,0.505585,-0.500953,0.494773,0.498627
0.464379,-0.20675,0.246571,0.505586,-0.500961,0.494773,0.498619
0.464384,-0.206751,0.246575,0.505586,-0.500969,0.49477,0.498613
0.464386,-0.206753,0.246579,0.505583,-0.500975,0.494771,0.49861
0.464393,-0.206751,0.246582,0.505584,-0.500981,0.494768,0.498606
0.464397,-0.206755,0.246589,0.505583,-0.500992,0.494765,0.498598
0.464401,-0.206757,0.246591,0.505582,-0.500997,0.494766,0.498593
0.464405,-0.206758,0.246594,0.505581,-0.501004,0.494765,0.498589
0.464407,-0.206759,0.246595,0.505579,-0.501008,0.494765,0.498587
0.464412,-0.206762,0.246602,0.505578,-0.501016,0.494765,0.498581
0.464417,-0.206761,0.246607,0.505577,-0.501025,0.494761,0.498576
0.46442,-0.206763,0.246609,0.505575,-0.501029,0.494761,0.498573
0.464424,-0.206764,0.246613,0.505576,-0.501034,0.49476,0.498568
0.464428,-0.206769,0.246617,0.505576,-0.501042,0.49476,0.498561
0.464433,-0.20677,0.246619,0.505574,-0.501048,0.494759,0.498557
0.464435,-0.206769,0.246624,0.505572,-0.501054,0.494757,0.498556
0.464439,-0.206773,0.246631,0.505572,-0.501063,0.494756,0.498547
0.464445,-0.206771,0.246634,0.505573,-0.501071,0.494751,0.498542
0.464448,-0.206772,0.246633,0.505568,-0.501073,0.494753,0.498544
0.46445,-0.206777,0.246638,0.50557,-0.501079,0.494754,0.498536
0.464456,-0.206777,0.246644,0.505571,-0.501089,0.494749,0.498529
0.464459,-0.20678,0.246648,0.505569,-0.501094,0.49475,0.498525
0.464463,-0.20678,0.24665,0.505568,-0.501101,0.494749,0.49852
0.464466,-0.206784,0.246653,0.505569,-0.501104,0.494749,0.498516
0.464469,-0.206783,0.246656,0.505568,-0.501108,0.494747,0.498515
0.464473,-0.206788,0.246662,0.505567,-0.501116,0.494747,0.498507
0.464477,-0.20679,0.246665,0.505565,-0.501125,0.494748,0.4985
0.464483,-0.206787,0.246669,0.505565,-0.501134,0.494742,0.498498
0.464486,-0.206792,0.246676,0.505563,-0.50114,0.494743,0.498492
0.464488,-0.206795,0.246678,0.505564,-0.501142,0.494743,0.498488
0.464493,-0.206794,0.246681,0.505562,-0.501151,0.49474,0.498485
0.464498,-0.206795,0.246684,0.50556,-0.501158,0.494739,0.49848
0.464501,-0.206798,0.24669,0.505561,-0.501165,0.494737,0.498475
0.464503,-0.2068,0.246692,0.50556,-0.50117,0.494736,0.498471
0.46451,-0.2068,0.2467,0.50556,-0.501182,0.494732,0.498464
0.464512,-0.206805,0.246702,0.50556,-0.501184,0.494734,0.49846
0.464515,-0.206807,0.246707,0.50556,-0.501191,0.494731,0.498455
0.464519,-0.206811,0.246712,0.505562,-0.501198,0.494729,0.498448
0.464525,-0.206811,0.246718,0.50556,-0.501204,0.494729,0.498445
0.464527,-0.206814,0.246719,0.505558,-0.50121,0.494729,0.498441
0.464532,-0.206815,0.246726,0.505559,-0.501219,0.494724,0.498435
