x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,7.78265456,6.16542607,-3.11572126,6.16542607,22.18360742,-8.70665907,-3.11572126,-8.70665907,4.78347695
0.46283000,-0.20736999,0.24566000,0.50540306,-0.49933303,0.49576300,0.49945303,299.90048469,0.04690225,0.04889450,0.04690225,300.00308109,-0.04889865,0.04889450,-0.04889865,299.89922584,7.77449462,6.15531466,-3.10500669,6.15531466,22.15946240,-8.69466335,-3.10500669,-8.69466335,4.77584784
0.46283001,-0.20736996,0.24566001,0.50540306,-0.49933303,0.49576299,0.49945303,299.80097087,0.09382991,0.09775331,0.09382991,300.00614746,-0.09779036,0.09775331,-0.09779036,299.79850061,7.76633093,6.14520044,-3.09429065,6.14520044,22.13530991,-8.68267100,-3.09429065,-8.68267100,4.76823199
0.46283001,-0.20736991,0.24566003,0.50540306,-0.49933304,0.49576298,0.49945303,299.70145856,0.14078298,0.14657639,0.14078298,300.00919911,-0.14667510,0.14657639,-0.14667510,299.69782436,7.75816350,6.13508341,-3.08357317,6.13508341,22.11115001,-8.67068204,-3.08357317,-8.67068204,4.76062950
0.46283002,-0.20736984,0.24566005,0.50540305,-0.49933306,0.49576296,0.49945303,299.60194779,0.18776149,0.19536368,0.18776149,300.01223599,-0.19555286,0.19536368,-0.19555286,299.59719712,7.74999234,6.12496361,-3.07285426,6.12496361,22.08698275,-8.65869654,-3.07285426,-8.65869654,4.75304040
0.46283004,-0.20736974,0.24566008,0.50540305,-0.49933308,0.49576294,0.49945304,299.50243856,0.23476547,0.24411515,0.23476547,300.01525807,-0.24442359,0.24411515,-0.24442359,299.49661894,7.74181747,6.11484106,-3.06213398,6.11484106,22.06280818,-8.64671454,-3.06213398,-8.64671454,4.74546478
0.46283005,-0.20736963,0.24566012,0.50540305,-0.49933310,0.49576292,0.49945305,299.40293089,0.28179492,0.29283075,0.28179492,300.01826534,-0.29328727,0.29283075,-0.29328727,299.39608984,7.73363890,6.10471579,-3.05141233,6.10471579,22.03862635,-8.63473609,-3.05141233,-8.63473609,4.73790270
0.46283007,-0.20736949,0.24566016,0.50540304,-0.49933313,0.49576289,0.49945305,299.30342482,0.32884988,0.34151044,0.32884988,300.02125776,-0.34214387,0.34151044,-0.34214387,299.29560986,7.72545665,6.09458780,-3.04068935,6.09458780,22.01443731,-8.62276123,-3.04068935,-8.62276123,4.73035423
0.46283009,-0.20736933,0.24566021,0.50540304,-0.49933316,0.49576285,0.49945306,299.20392035,0.37593035,0.39015417,0.37593035,300.02423531,-0.39099336,0.39015417,-0.39099336,299.19517905,7.71727072,6.08445713,-3.02996507,6.08445713,21.99024112,-8.61079002,-3.02996507,-8.61079002,4.72281942
0.46283011,-0.20736915,0.24566026,0.50540303,-0.49933319,0.49576281,0.49945307,299.10441750,0.42303637,0.43876191,0.42303637,300.02719795,-0.43983571,0.43876191,-0.43983571,299.09479743,7.70908114,6.07432380,-3.01923951,6.07432380,21.96603782,-8.59882250,-3.01923951,-8.59882250,4.71529835
0.46283013,-0.20736894,0.24566032,0.50540302,-0.49933323,0.49576277,0.49945308,299.00491629,0.47016795,0.48733360,0.47016795,300.03014566,-0.48867089,0.48733360,-0.48867089,298.99446506,7.70088791,6.06418783,-3.00851271,6.06418783,21.94182748,-8.58685871,-3.00851271,-8.58685871,4.70779108
0.46283016,-0.20736871,0.24566039,0.50540302,-0.49933328,0.49576272,0.49945309,298.90541675,0.51732511,0.53586921,0.51732511,300.03307841,-0.53749887,0.53586921,-0.53749887,298.89418195,7.69269105,6.05404924,-2.99778470,6.05404924,21.91761013,-8.57489871,-2.99778470,-8.57489871,4.70029767
0.46283019,-0.20736846,0.24566046,0.50540301,-0.49933333,0.49576267,0.49945311,298.80591888,0.56450787,0.58436870,0.56450787,300.03599618,-0.58631962,0.58436870,-0.58631962,298.79394816,7.68449058,6.04390806,-2.98705550,6.04390806,21.89338584,-8.56294254,-2.98705550,-8.56294254,4.69281820
0.46283022,-0.20736819,0.24566054,0.50540300,-0.49933338,0.49576261,0.49945312,298.70642272,0.61171625,0.63283201,0.61171625,300.03889892,-0.63513311,0.63283201,-0.63513311,298.69376371,7.67628650,6.03376431,-2.97632514,6.03376431,21.86915466,-8.55099026,-2.97632514,-8.55099026,4.68535273
0.46283025,-0.20736789,0.24566063,0.50540299,-0.49933344,0.49576254,0.49945314,298.60692827,0.65895028,0.68125910,0.65895028,300.04178662,-0.68393932,0.68125910,-0.68393932,298.59362865,7.66807883,6.02361801,-2.96559365,6.02361801,21.84491663,-8.53904190,-2.96559365,-8.53904190,4.67790133
0.46283028,-0.20736757,0.24566072,0.50540298,-0.49933350,0.49576248,0.49945315,298.50743556,0.70620996,0.72964994,0.70620996,300.04465925,-0.73273821,0.72964994,-0.73273821,298.49354300,7.65986760,6.01346918,-2.95486106,6.01346918,21.82067182,-8.52709752,-2.95486106,-8.52709752,4.67046406
0.46283032,-0.20736722,0.24566082,0.50540297,-0.49933356,0.49576241,0.49945317,298.40794461,0.75349533,0.77800447,0.75349533,300.04751678,-0.78152975,0.77800447,-0.78152975,298.39350682,7.65165280,6.00331786,-2.94412740,6.00331786,21.79642027,-8.51515717,-2.94412740,-8.51515717,4.66304098
0.46283036,-0.20736685,0.24566092,0.50540296,-0.49933363,0.49576233,0.49945319,298.30845543,0.80080640,0.82632266,0.80080640,300.05035918,-0.83031391,0.82632266,-0.83031391,298.29352012,7.64343445,5.99316405,-2.93339270,5.99316405,21.77216204,-8.50322090,-2.93339270,-8.50322090,4.65563217
0.46283039,-0.20736646,0.24566103,0.50540295,-0.49933370,0.49576225,0.49945321,298.20896804,0.84814319,0.87460445,0.84814319,300.05318642,-0.87909066,0.87460445,-0.87909066,298.19358296,7.63521258,5.98300779,-2.92265698,5.98300779,21.74789717,-8.49128874,-2.92265698,-8.49128874,4.64823769
0.46283043,-0.20736604,0.24566115,0.50540293,-0.49933378,0.49576216,0.49945323,298.10948247,0.89550572,0.92284982,0.89550572,300.05599847,-0.92785998,0.92284982,-0.92785998,298.09369537,7.62698718,5.97284910,-2.91192029,5.97284910,21.72362574,-8.47936076,-2.91192029,-8.47936076,4.64085762
0.46283047,-0.20736559,0.24566127,0.50540292,-0.49933386,0.49576207,0.49945326,298.00999874,0.94289401,0.97105871,0.94289401,300.05879530,-0.97662183,0.97105871,-0.97662183,297.99385737,7.61875828,5.96268800,-2.90118263,5.96268800,21.69934778,-8.46743700,-2.90118263,-8.46743700,4.63349200
0.46283051,-0.20736512,0.24566140,0.50540290,-0.49933394,0.49576198,0.49945328,297.91051685,0.99030808,1.01923107,0.99030808,300.06157690,-1.02537618,1.01923107,-1.02537618,297.89406902,7.61052590,5.95252451,-2.89044406,5.95252451,21.67506335,-8.45551751,-2.89044406,-8.45551751,4.62614092
0.46283056,-0.20736462,0.24566154,0.50540289,-0.49933403,0.49576188,0.49945331,297.81103684,1.03774796,1.06736688,1.03774796,300.06434322,-1.07412301,1.06736688,-1.07412301,297.79433034,7.60229004,5.94235866,-2.87970459,5.94235866,21.65077251,-8.44360233,-2.87970459,-8.44360233,4.61880444
0.46283060,-0.20736410,0.24566168,0.50540287,-0.49933412,0.49576178,0.49945333,297.71155871,1.08521366,1.11546608,1.08521366,300.06709424,-1.12286227,1.11546608,-1.12286227,297.69464137,7.59405072,5.93219047,-2.86896425,5.93219047,21.62647531,-8.43169153,-2.86896425,-8.43169153,4.61148263
0.46283064,-0.20736355,0.24566182,0.50540286,-0.49933422,0.49576167,0.49945336,297.61208250,1.13270519,1.16352862,1.13270519,300.06982992,-1.17159395,1.16352862,-1.17159395,297.59500215,7.58580795,5.92201996,-2.85822308,5.92201996,21.60217180,-8.41978514,-2.85822308,-8.41978514,4.60417555
