x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,22.33302709,4.61232371,-5.83262102,4.61232371,5.58737520,-5.13519260,-5.83262102,-5.13519260,36.92634869
0.46282988,-0.20737006,0.24566009,0.50540309,-0.49933295,0.49576303,0.49945304,299.80838041,0.17065967,-0.11351997,0.17065967,299.83760198,-0.01859194,-0.11351997,-0.01859194,299.76374838,22.31316146,4.59607942,-5.74106702,4.59607942,5.59262190,-5.12101098,-5.74106702,-5.12101098,36.81051816
0.46282951,-0.20737022,0.24566035,0.50540317,-0.49933273,0.49576313,0.49945308,299.61678393,0.34141666,-0.22725805,0.34141666,299.67490014,-0.03713615,-0.22725805,-0.03713615,299.52722855,22.29319298,4.57975487,-5.64912269,4.57975487,5.59794044,-5.10688349,-5.64912269,-5.10688349,36.69492492
0.46282889,-0.20737043,0.24566079,0.50540331,-0.49933238,0.49576329,0.49945314,299.42521112,0.51227125,-0.34121507,0.51227125,299.51189268,-0.05563215,-0.34121507,-0.05563215,299.29043821,22.27312160,4.56335008,-5.55678919,4.56335008,5.60333167,-5.09281221,-5.55678919,-5.09281221,36.57958163
0.46282804,-0.20737065,0.24566140,0.50540350,-0.49933188,0.49576350,0.49945323,299.23366253,0.68322369,-0.45539190,0.68322369,299.34857779,-0.07407947,-0.45539190,-0.07407947,299.05337504,22.25294723,4.54686504,-5.46406776,4.54686504,5.60879648,-5.07879923,-5.46406776,-5.07879923,36.46450106
0.46282694,-0.20737083,0.24566217,0.50540374,-0.49933123,0.49576378,0.49945335,299.04213873,0.85427421,-0.56978937,0.85427421,299.18495365,-0.09247763,-0.56978937,-0.09247763,298.81603674,22.23266981,4.53029976,-5.37095964,4.53029976,5.61433573,-5.06484668,-5.37095964,-5.06484668,36.34969610
0.46282560,-0.20737093,0.24566311,0.50540404,-0.49933046,0.49576412,0.49945349,298.85064029,1.02542308,-0.68440832,1.02542308,299.02101846,-0.11082617,-0.68440832,-0.11082617,298.57842097,22.21228929,4.51365426,-5.27746615,4.51365426,5.61995031,-5.05095670,-5.27746615,-5.05095670,36.23517975
0.46282402,-0.20737091,0.24566422,0.50540440,-0.49932954,0.49576452,0.49945365,298.65916778,1.19667052,-0.79924959,1.19667052,298.85677040,-0.12912460,-0.79924959,-0.12912460,298.34052537,22.19180561,4.49692857,-5.18358865,4.49692857,5.62564111,-5.03713147,-5.18358865,-5.03713147,36.12096512
0.46282221,-0.20737073,0.24566548,0.50540481,-0.49932848,0.49576497,0.49945384,298.46772179,1.36801679,-0.91431400,1.36801679,298.69220763,-0.14737243,-0.91431400,-0.14737243,298.10234759,22.17121874,4.48012270,-5.08932852,4.48012270,5.63140904,-5.02337316,-5.08932852,-5.02337316,36.00706542
0.46282016,-0.20737035,0.24566691,0.50540527,-0.49932730,0.49576548,0.49945405,298.27630292,1.53946211,-1.02960240,1.53946211,298.52732833,-0.16556917,-1.02960240,-0.16556917,297.86388525,22.15052863,4.46323670,-4.99468723,4.46323670,5.63725499,-5.00968399,-4.99468723,-5.00968399,35.89349400
0.46281787,-0.20736972,0.24566849,0.50540579,-0.49932598,0.49576604,0.49945429,298.08491176,1.71100672,-1.14511558,1.71100672,298.36213066,-0.18371435,-1.14511558,-0.18371435,297.62513598,22.12973526,4.44627060,-4.89966627,4.44627060,5.64317989,-4.99606618,-4.89966627,-4.99606618,35.78026429
0.46281536,-0.20736880,0.24567023,0.50540637,-0.49932452,0.49576666,0.49945454,297.89354893,1.88265085,-1.26085438,1.88265085,298.19661279,-0.20180745,-1.26085438,-0.20180745,297.38609735,22.10883861,4.42922445,-4.80426718,4.42922445,5.64918467,-4.98252199,-4.80426718,-4.98252199,35.66738984
0.46281261,-0.20736756,0.24567212,0.50540700,-0.49932294,0.49576734,0.49945482,297.70221504,2.05439471,-1.37681961,2.05439471,298.03077286,-0.21984799,-1.37681961,-0.21984799,297.14676698,22.08783865,4.41209830,-4.70849156,4.41209830,5.65527025,-4.96905369,-4.70849156,-4.96905369,35.55488430
0.46280963,-0.20736596,0.24567416,0.50540769,-0.49932122,0.49576806,0.49945512,297.51091072,2.22623853,-1.49301207,2.22623853,297.86460902,-0.23783547,-1.49301207,-0.23783547,296.90714242,22.06673538,4.39489220,-4.61234104,4.39489220,5.66143757,-4.95566356,-4.61234104,-4.95566356,35.44276142
0.46280643,-0.20736395,0.24567635,0.50540843,-0.49931938,0.49576884,0.49945544,297.31963659,2.39818253,-1.60943256,2.39818253,297.69811944,-0.25576939,-1.60943256,-0.25576939,296.66722125,22.04552880,4.37760624,-4.51581732,4.37760624,5.66768759,-4.94235394,-4.51581732,-4.94235394,35.33103506
