x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.85680883,-3.07304929,3.90839632,-3.07304929,13.50384565,-16.49102235,3.90839632,-16.49102235,20.60485872
0.46283003,-0.20736997,0.24566000,0.50540306,-0.49933303,0.49576300,0.49945302,300.02090815,0.01280550,-0.00298303,0.01280550,299.99880665,0.01116772,-0.00298303,0.01116772,300.02532714,0.85997796,-3.07768579,3.91472008,-3.07768579,13.49497507,-16.47982683,3.91472008,-16.47982683,20.59097018
0.46283013,-0.20736988,0.24566000,0.50540306,-0.49933304,0.49576300,0.49945301,300.04182404,0.02560618,-0.00596945,0.02560618,299.99763192,0.02233415,-0.00596945,0.02233415,300.05065889,0.86315817,-3.08232397,3.92104819,-3.08232397,13.48609672,-16.46861852,3.92104819,-16.46861852,20.57706548
0.46283029,-0.20736973,0.24566000,0.50540306,-0.49933305,0.49576300,0.49945300,300.06274765,0.03840202,-0.00895927,0.03840202,299.99647583,0.03349930,-0.00895927,0.03349930,300.07599526,0.86634950,-3.08696380,3.92738064,-3.08696380,13.47721064,-16.45739743,3.92738064,-16.45739743,20.56314464
0.46283051,-0.20736951,0.24565999,0.50540306,-0.49933307,0.49576300,0.49945298,300.08367901,0.05119302,-0.01195249,0.05119302,299.99533840,0.04466315,-0.01195249,0.04466315,300.10133623,0.86955197,-3.09160528,3.93371739,-3.09160528,13.46831684,-16.44616357,3.93371739,-16.44616357,20.54920767
0.46283080,-0.20736924,0.24565999,0.50540306,-0.49933310,0.49576301,0.49945295,300.10461813,0.06397917,-0.01494911,0.06397917,299.99421966,0.05582571,-0.01494911,0.05582571,300.12668179,0.87276560,-3.09624836,3.94005844,-3.09624836,13.45941535,-16.43491697,3.94005844,-16.43491697,20.53525459
0.46283114,-0.20736890,0.24565999,0.50540305,-0.49933313,0.49576301,0.49945292,300.12556499,0.07676046,-0.01794913,0.07676046,299.99311963,0.06698698,-0.01794913,0.06698698,300.15203194,0.87599044,-3.10089304,3.94640375,-3.10089304,13.45050619,-16.42365763,3.94640375,-16.42365763,20.52128542
0.46283156,-0.20736850,0.24565998,0.50540305,-0.49933316,0.49576301,0.49945288,300.14651963,0.08953687,-0.02095255,0.08953687,299.99203833,0.07814695,-0.02095255,0.07814695,300.17738668,0.87922651,-3.10553928,3.95275330,-3.10553928,13.44158937,-16.41238557,3.95275330,-16.41238557,20.50730017
0.46283203,-0.20736803,0.24565998,0.50540305,-0.49933321,0.49576301,0.49945284,300.16748203,0.10230839,-0.02395938,0.10230839,299.99097579,0.08930563,-0.02395938,0.08930563,300.20274598,0.88247384,-3.11018707,3.95910708,-3.11018707,13.43266492,-16.40110081,3.95910708,-16.40110081,20.49329886
0.46283256,-0.20736750,0.24565997,0.50540305,-0.49933326,0.49576302,0.49945279,300.18845221,0.11507501,-0.02696960,0.11507501,299.98993203,0.10046300,-0.02696960,0.10046300,300.22810985,0.88573247,-3.11483638,3.96546506,-3.11483638,13.42373287,-16.38980336,3.96546506,-16.38980336,20.47928151
