x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.06870032,-1.08857558,-0.19512243,-1.08857558,68.04304302,12.50216927,-0.19512243,12.50216927,4.37860201
0.46283754,-0.20736775,0.24566019,0.50540316,-0.49933231,0.49576330,0.49945335,299.42727477,-0.74059327,0.10892542,-0.74059327,299.38962025,0.09551114,0.10892542,0.09551114,300.12938806,0.07310499,-1.20487200,-0.21624782,-1.20487200,67.39664842,12.45305268,-0.21624782,12.45305268,4.34925834
0.46285984,-0.20736062,0.24566076,0.50540345,-0.49933019,0.49576418,0.49945430,298.84895916,-1.48120486,0.21821965,-1.48120486,298.78362137,0.18854347,0.21821965,0.18854347,300.25815873,0.07805164,-1.32185450,-0.23755681,-1.32185450,66.74382124,12.40223120,-0.23755681,12.40223120,4.32079212
0.46289643,-0.20734800,0.24566169,0.50540392,-0.49932670,0.49576562,0.49945587,298.26496185,-2.22180419,0.32788424,-2.22180419,298.18206056,0.27905329,0.32788424,0.27905329,300.38626271,0.08356166,-1.43947700,-0.25904338,-1.43947700,66.08468986,12.34966093,-0.25904338,12.34966093,4.29326352
0.46294684,-0.20732935,0.24566298,0.50540457,-0.49932189,0.49576762,0.49945804,297.67519099,-2.96235963,0.43792060,-2.96235963,297.58499436,0.36699664,0.43792060,0.36699664,300.51364898,0.08965674,-1.55769144,-0.28070115,-1.55769144,65.41939053,12.29529782,-0.28070115,12.29529782,4.26673416
0.46301063,-0.20730413,0.24566462,0.50540539,-0.49931580,0.49577017,0.49946078,297.07955420,-3.70283845,0.54832998,-3.70283845,296.99247858,0.45232930,0.54832998,0.45232930,300.64026475,0.09635888,-1.67644778,-0.30252339,-1.67644778,64.74806745,12.23909763,-0.30252339,12.23909763,4.24126707
0.46308736,-0.20727181,0.24566661,0.50540636,-0.49930846,0.49577324,0.49946408,296.47795864,-4.44320684,0.65911344,-4.44320684,296.40456828,0.53500681,0.65911344,0.53500681,300.76605545,0.10369032,-1.79569403,-0.32450301,-1.79569403,64.07087274,12.18101608,-0.32450301,12.18101608,4.21692664
0.46317660,-0.20723189,0.24566892,0.50540748,-0.49929992,0.49577682,0.49946792,295.87031107,-5.18342984,0.77027189,-5.18342984,295.82131769,0.61498447,0.77027189,0.61498447,300.89096470,0.11167354,-1.91537625,-0.34663257,-1.91537625,63.38796645,12.12100886,-0.34663257,12.12100886,4.19377858
0.46327795,-0.20718391,0.24567156,0.50540875,-0.49929022,0.49578091,0.49947229,295.25651791,-5.92347136,0.88180603,-5.92347136,295.24278017,0.69221739,0.88180603,0.69221739,301.01493429,0.12033122,-2.03543854,-0.36890427,-2.03543854,62.69951662,12.05903174,-0.36890427,12.05903174,4.17188988
0.46339100,-0.20712740,0.24567451,0.50541014,-0.49927938,0.49578550,0.49947716,294.63648527,-6.66329411,0.99371636,-6.66329411,294.66900818,0.76666047,0.99371636,0.76666047,301.13790421,0.12968624,-2.15582310,-0.39130994,-2.15582310,62.00569919,11.99504064,-0.39130994,11.99504064,4.15132875
0.46351537,-0.20706192,0.24567776,0.50541167,-0.49926744,0.49579056,0.49948252,294.01011906,-7.40285963,1.10600318,-7.40285963,294.10005322,0.83826847,1.10600318,0.83826847,301.25981255,0.13976160,-2.27647020,-0.41384105,-2.27647020,61.30669800,11.92899167,-0.41384105,11.92899167,4.13216456
0.46365068,-0.20698705,0.24568132,0.50541331,-0.49925445,0.49579610,0.49948835,293.37732502,-8.14212824,1.21866657,-8.14212824,293.53596578,0.90699597,1.21866657,0.90699597,301.38059558,0.15058044,-2.39731824,-0.43648868,-2.39731824,60.60270470,11.86084129,-0.43648868,11.86084129,4.11446779
0.46379654,-0.20690238,0.24568516,0.50541506,-0.49924042,0.49580209,0.49949465,292.73800881,-8.88105903,1.33170638,-8.88105903,292.97679529,0.97279742,1.33170638,0.97279742,301.50018768,0.16216594,-2.51830379,-0.45924356,-2.51830379,59.89391872,11.79054633,-0.45924356,11.79054633,4.09830993
0.46395262,-0.20680752,0.24568929,0.50541692,-0.49922540,0.49580853,0.49950139,292.09207605,-9.61960984,1.44512221,-9.61960984,292.42259008,1.03562717,1.44512221,1.03562717,301.61852135,0.17454135,-2.63936160,-0.48209605,-2.63936160,59.18054713,11.71806411,-0.48209605,11.71806411,4.08376346
0.46411854,-0.20670210,0.24569369,0.50541888,-0.49920941,0.49581541,0.49950856,291.43943246,-10.35773724,1.55891342,-10.35773724,291.87339736,1.09543949,1.55891342,1.09543949,301.73552723,0.18772992,-2.76042465,-0.50503613,-2.76042465,58.46280455,11.64335255,-0.50503613,11.64335255,4.07090172
